Site Name,URL
AEPB,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.161/10.0.37.161_gigabitethernet0_0_0.html
BCDA,https://mrtg.galaxybackbone.com.ng:8081/10.0.190.185/10.0.190.185_gigabitethernet0_0_0.html
SCN,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.113/10.0.42.113_gigabitethernet0_0_0.html
TETFUND,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.73_gigabitethernet0_0_0.html
NPA Lagos Port Complex,https://mrtg.galaxybackbone.com.ng:8081/10.8.162.81/10.8.162.81_gigabitethernet0_0_0.html
Ministry of Power,https://mrtg.galaxybackbone.com.ng:8081/10.0.44.249/10.0.44.249_gigabitethernet0_0_0.html
JAMB,https://mrtg.galaxybackbone.com.ng:8081/10.0.50.17/10.0.50.17_gigabitethernet0_0_0.html
NAPET ENSERVE,https://mrtg.galaxybackbone.com.ng:8081/10.8.162.89/10.8.162.89_gigabitethernet0_0_0.html
Ministry of Defence,https://mrtg.galaxybackbone.com.ng:8081/10.10.206.66/10.10.206.66_gigabitethernet0_0_0.html
NAPET Mukhtar El- Yakub,https://mrtg.galaxybackbone.com.ng:8081/10.0.191.41/10.0.191.41_gigabitethernet0_0_0.html
Customary court Of Appeal Utako,https://mrtg.galaxybackbone.com.ng:8081/10.0.191.121_gigabitethernet0_0_0.html
MOTA ENGIL,https://mrtg.galaxybackbone.com.ng:8081/10.8.162.153_gigabitethernet0_0_5.html
Fed Min of Housing,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.57/10.0.36.57_gigabitethernet0_0_2.html
NUIMC-NAPET,https://mrtg.galaxybackbone.com.ng:8081/10.0.190.145_gigabitethernet0_0_0.html
NCAA,https://mrtg.galaxybackbone.com.ng:8081/10.0.39.81_gigabitethernet0_0_0.html
WRPC-NNPC,https://mrtg.galaxybackbone.com.ng:8081/10.10.232.233/10.10.232.233_gigabitethernet0_0_0.html
KRPC-NNPC,https://mrtg.galaxybackbone.com.ng:8081/10.160.64.17/10.160.64.17_gigabitethernet0_0_0.html
nadf1,https://mrtg.galaxybackbone.com.ng:8081/10.0.191.129_gigabitethernet0_0_4.html
,
,
,
,
,
